Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees,Change in Rank,Years on Global 500 List
63,China Communications Construction,"$136,670.7",-1.20%,"$1,672.3",33.30%,"$361,452.7","2,19,034",,17
64,BNP Paribas,"$136,076.2",51.90%,"$11,864.6",10.60%,"$2,862,269.7","1,82,656",63,30
65,Mitsubishi,"$135,389.8",-15.10%,"$6,670.2",-23.50%,"$155,135.4","80,037",-20,30
66,Meta Platforms,"$134,902",15.70%,"$39,098",68.50%,"$229,623","67,317",15,8
67,HSBC Holdings,"$134,901",53.60%,"$23,533",46.80%,"$3,038,677","2,20,861",63,30
68,Verizon Communications,"$133,974",-2.10%,"$11,614",-45.40%,"$380,255","1,05,400",-4,30
69,China Minmetals,"$132,019.7",-1.10%,$766,-12.60%,"$159,608.7","1,75,524",-4,18
70,Alibaba Group,"$131,337.9",3.60%,"$11,165.1",5.10%,"$244,426","2,04,891",-2,8
71,CITIC Group,"$131,242.3",30.20%,"$4,124.6",5.70%,"$1,617,680.9","2,13,290",29,16
72,China Resources,"$126,169.5",3.70%,"$3,797.5",-18.50%,"$367,033.5","3,94,112",2,15
73,Hyundai Motor,"$124,576.7",12.80%,"$9,158.6",60.50%,"$218,047.7","73,502",12,29
74,AT&T,"$122,428",1.40%,"$14,400",,"$407,060","1,50,470",4,30
75,Shandong Energy Group,"$122,383.2",-1.40%,$829.6,2446.30%,"$141,176.3","2,14,409",-3,7
76,Comcast,"$121,572",0.10%,"$15,388",186.60%,"$264,811","1,86,000",1,22
77,Deutsche Telekom,"$121,046.2",0.80%,"$19,229.9",128.50%,"$320,637.3","1,99,652",2,30
78,China Southern Power Grid,"$118,813.5",4.50%,"$2,342.2",54.60%,"$173,039.2","2,68,471",5,20
79,Uniper,"$116,662.5",-59.50%,"$6,819.3",,"$60,703.6","6,863",-63,6
80,Wells Fargo,"$115,340",39.20%,"$19,142",45.20%,"$1,932,468","2,26,000",64,27
81,Hengli Group,"$114,664.5",26.10%,$980.8,175.20%,"$52,686.3","1,73,250",42,8
82,Allianz,"$113,517.7",-12%,"$9,233.3",30.30%,"$1,085,900.2","1,57,883",-15,30
83,China Post Group,"$112,778.5",2.30%,"$5,884.5",20.20%,"$2,310,571.9","7,28,776",3,14
84,China Energy Investment,"$112,048.7",-7.80%,"$6,339.1",11.20%,"$294,883.2","3,09,037",-8,15
85,Xiamen C&D,"$110,665.6",-12.20%,"$1,057.6",132.80%,"$125,003.2","62,740",-16,8
86,Reliance Industries,"$108,877.9",-0.60%,"$8,412.5",1.30%,"$210,698.9","3,47,000",2,21
87,Goldman Sachs Group,"$108,418",57.80%,"$8,516",-24.40%,"$1,641,594","45,300",98,25
88,Freddie Mac,"$108,050",24.60%,"$10,538",13%,"$3,280,976","8,020",45,28
89,Rosneft Oil,"$107,543.1",,"$14,870.4",,"$209,569.9","3,23,900",,18
90,Target,"$107,412",-1.60%,"$4,138",48.90%,"$55,356","4,15,000",,30
91,Equinor,"$107,174",-28.90%,"$11,885",-58.70%,"$143,580","23,449",-35,30
92,Humana,"$106,374",14.50%,"$2,489",-11.30%,"$47,065","67,600",24,26
93,SAIC Motor,"$105,195.7",-4.90%,"$1,992.6",-16.80%,"$141,825.7","1,49,505",-9,13
94,State Farm Insurance,"$104,198.6",16.70%,"$-6,272.3",,"$339,484.7","65,054",34,30
